# c-balanced Latin square
# n=15
# c=1
# mode=weak
# latin=true
# found_by=search(branch=6)
# rows=items, cols=days, entry=player
1,10,7,14,6,5,15,13,11,12,9,8,4,2,3
2,9,12,15,4,3,11,8,7,6,14,1,13,5,10
3,8,11,10,9,13,2,12,4,1,5,6,14,15,7
4,13,6,5,7,8,1,14,3,10,15,2,9,12,11
5,14,15,1,12,2,9,7,10,13,4,11,3,8,6
6,11,13,8,3,14,10,4,5,15,2,12,7,1,9
7,12,4,2,11,1,6,15,9,8,3,5,10,13,14
8,15,3,9,10,12,5,6,2,14,7,13,1,11,4
9,5,2,13,14,7,4,3,1,11,8,10,15,6,12
10,1,14,6,15,11,8,9,13,3,12,4,2,7,5
11,7,1,3,13,4,12,2,6,5,10,9,8,14,15
12,2,5,4,8,10,14,1,15,9,11,7,6,3,13
15,3,9,7,5,6,13,11,8,4,1,14,12,10,2
13,4,10,12,1,15,7,5,14,2,6,3,11,9,8
14,6,8,11,2,9,3,10,12,7,13,15,5,4,1
