# c-balanced Latin square
# n=17
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,16,10,11,5,7,4,12,2,6,3,13,14,17,15,9,8
2,14,7,12,17,6,16,1,5,10,9,15,8,11,4,3,13
3,4,9,15,8,13,14,17,16,11,7,10,1,5,12,2,6
11,13,8,6,3,10,15,9,4,1,17,2,12,7,16,5,14
5,12,17,13,9,2,3,8,7,15,14,4,16,6,11,1,10
6,15,4,2,16,1,11,10,14,8,5,12,3,9,13,17,7
7,17,5,1,14,12,9,6,3,13,16,11,10,8,2,15,4
8,10,15,14,7,11,5,2,13,17,4,6,9,1,3,16,12
9,6,3,16,13,4,8,7,15,12,1,5,17,2,14,10,11
10,8,14,17,1,3,12,13,11,9,2,16,15,4,6,7,5
16,11,12,4,2,15,6,5,9,14,10,7,13,3,1,8,17
13,1,2,5,10,16,7,4,17,3,11,8,6,12,9,14,15
15,2,11,9,12,14,17,3,6,5,8,1,7,13,10,4,16
12,3,6,7,4,8,10,16,1,2,15,17,11,14,5,13,9
17,9,1,10,15,5,13,11,8,4,6,14,2,16,7,12,3
14,5,16,8,11,9,1,15,12,7,13,3,4,10,17,6,2
4,7,13,3,6,17,2,14,10,16,12,9,5,15,8,11,1
