# c-balanced Latin square
# n=30
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,18,24,10,22,20,25,5,30,19,15,23,26,16,2,12,8,4,13,7,29,27,21,14,11,3,17,28,9,6
2,16,11,14,26,6,21,9,18,24,3,20,5,7,28,27,19,15,17,1,22,25,12,8,10,4,30,13,29,23
3,29,13,23,7,17,27,12,28,4,25,8,11,9,21,22,14,6,30,10,2,26,5,15,24,20,18,1,19,16
4,28,15,12,30,19,8,1,29,13,6,10,14,17,24,11,3,26,18,16,20,23,9,2,7,27,21,22,25,5
5,20,19,9,21,16,15,23,22,7,17,2,27,1,13,10,29,25,3,11,6,28,4,18,30,14,12,24,26,8
6,25,26,8,27,12,11,14,10,2,22,18,29,4,30,23,5,24,21,9,19,1,17,16,13,28,7,3,20,15
7,30,27,17,4,28,24,13,3,20,9,1,21,15,25,18,16,23,14,5,12,8,22,6,26,29,19,10,11,2
8,21,14,18,3,2,10,16,11,5,29,30,19,22,26,6,28,20,12,15,13,24,7,25,1,9,23,4,27,17
9,17,22,29,25,13,1,6,26,23,16,12,24,8,20,7,11,27,28,4,30,10,19,3,5,15,2,14,21,18
10,24,23,2,15,5,4,7,21,14,27,28,13,3,19,9,1,17,8,25,26,18,11,20,22,6,29,16,30,12
11,19,28,30,1,18,3,20,17,26,12,4,25,6,14,15,2,22,29,24,9,16,23,21,27,8,13,5,7,10
12,23,6,20,5,9,22,19,15,8,21,7,16,18,29,4,30,10,2,27,14,3,13,24,17,26,11,25,1,28
13,26,1,25,8,24,29,2,27,16,11,6,28,10,3,17,21,7,19,18,5,15,20,30,23,12,14,9,4,22
14,27,4,16,10,7,30,18,24,9,26,13,17,23,5,20,12,1,11,22,21,2,29,28,19,25,8,6,15,3
15,22,21,3,11,29,14,17,25,28,10,5,30,12,27,8,13,9,26,23,7,4,6,1,18,16,24,20,2,19
16,12,7,15,20,22,23,4,8,30,18,19,9,2,1,25,24,5,6,3,28,14,10,29,21,11,26,27,17,13
29,5,2,19,28,26,13,11,6,1,14,3,4,20,15,30,18,21,16,8,25,17,27,12,9,10,22,7,23,24
18,9,17,13,6,21,28,10,19,25,2,27,22,24,7,26,23,29,20,12,15,11,16,5,4,1,3,8,14,30
25,3,30,24,16,23,7,27,12,22,1,15,8,11,9,14,10,19,4,28,17,6,26,13,2,5,20,21,18,29
20,10,8,4,9,14,26,3,5,29,23,17,18,21,6,28,22,2,24,13,27,30,1,19,25,7,15,12,16,11
21,6,5,27,17,1,2,15,20,11,24,14,12,29,4,13,25,16,7,30,18,19,3,9,8,22,28,23,10,26
22,11,18,28,19,8,12,30,13,21,7,25,23,26,16,5,9,3,1,20,10,29,14,17,15,24,27,2,6,4
26,7,12,1,2,27,16,24,4,6,8,29,15,19,10,3,17,28,23,14,11,13,30,22,20,21,25,18,5,9
24,13,29,26,14,15,5,25,9,3,20,22,10,30,18,2,6,11,27,21,4,7,8,23,28,17,16,19,12,1
23,4,10,11,18,30,19,28,16,17,5,21,2,27,12,1,20,8,15,26,24,9,25,7,3,13,6,29,22,14
17,14,9,6,23,3,20,8,7,10,28,11,1,13,22,29,26,18,25,19,16,21,15,4,12,2,5,30,24,27
19,2,25,21,29,4,9,22,1,27,13,24,7,14,23,16,15,30,5,17,8,12,28,11,6,18,10,26,3,20
30,15,3,5,12,25,6,26,14,18,19,16,20,28,17,21,27,13,9,2,1,22,24,10,29,23,4,11,8,7
28,1,20,22,24,11,17,29,2,12,4,26,3,25,8,19,7,14,10,6,23,5,18,27,16,30,9,15,13,21
27,8,16,7,13,10,18,21,23,15,30,9,6,5,11,24,4,12,22,29,3,20,2,26,14,19,1,17,28,25
