# c-balanced Latin square
# n=91
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
90,56,75,29,74,85,28,68,62,67,44,70,35,60,59,89,24,84,72,63,47,14,13,21,36,8,11,54,20,43,53,34,61,5,48,6,83,33,69,65,86,87,22,73,16,40,79,4,19,49,31,1,23,2,17,3,50,81,46,52,78,18,15,55,77,32,66,26,82,71,57,38,39,41,80,42,37,12,51,30,45,58,91,27,64,76,88,9,7,25,10
2,58,71,30,83,18,43,12,55,22,69,7,38,52,57,76,88,49,4,66,82,86,65,79,80,40,9,32,23,31,45,85,77,56,64,90,29,78,67,74,27,51,13,21,59,47,75,84,60,35,53,91,14,37,10,26,41,39,25,70,5,34,42,28,62,73,33,68,87,44,19,16,50,24,15,61,8,6,89,46,54,72,3,17,11,20,1,63,36,48,81
3,64,48,46,41,73,33,61,26,51,19,54,53,25,87,42,39,50,6,78,10,81,37,16,1,15,70,91,27,55,24,88,71,44,62,76,17,12,28,36,30,58,57,11,18,7,80,38,32,77,20,68,8,82,9,72,45,21,89,83,29,49,47,22,63,43,86,90,79,40,23,52,56,4,60,75,84,31,66,67,13,65,14,85,34,2,69,5,35,59,74
79,80,32,27,23,31,15,14,17,82,10,91,16,1,20,40,5,9,77,34,45,2,75,60,35,26,18,42,68,89,3,59,7,52,66,39,38,41,19,72,81,37,8,25,50,64,63,46,76,56,54,44,11,12,24,69,61,48,84,67,65,13,6,85,58,4,30,74,51,36,88,78,62,29,47,87,70,90,86,33,53,71,73,57,43,49,55,28,21,83,22
5,78,13,65,37,34,47,72,88,84,45,8,21,36,11,81,48,31,30,17,69,67,25,41,58,28,22,33,50,73,51,4,57,74,49,63,46,15,89,82,3,42,55,52,90,61,29,6,62,85,71,70,86,87,43,7,66,75,27,79,35,59,76,64,9,54,12,53,2,20,91,18,14,1,83,10,77,23,32,26,38,80,60,56,24,68,19,39,44,16,40
6,76,40,66,77,21,20,49,87,39,4,9,32,86,13,46,12,43,90,71,85,38,74,62,64,19,83,63,29,30,2,75,1,58,70,25,26,23,35,91,14,54,68,44,10,53,24,42,45,5,36,67,15,73,33,51,34,88,56,60,80,17,57,16,8,7,48,72,3,27,81,59,55,11,22,89,65,28,69,52,82,79,61,78,47,84,41,18,37,50,31
7,53,36,63,57,16,86,24,11,89,50,65,18,66,33,68,73,61,55,23,27,3,44,59,51,52,87,56,46,78,82,10,37,22,60,81,84,79,47,34,80,4,2,26,48,43,88,39,72,69,58,83,40,28,90,30,74,38,71,20,1,14,91,19,41,21,45,35,31,67,70,85,5,17,76,9,54,25,49,64,8,15,12,75,77,29,32,42,62,6,13
8,52,38,70,42,54,35,60,81,59,56,77,15,28,47,41,29,62,80,79,83,91,84,12,76,57,49,69,17,39,19,72,67,14,18,24,87,31,32,1,10,85,5,9,78,71,3,27,65,34,55,22,25,16,63,13,6,4,82,64,74,36,37,23,40,50,11,75,61,89,7,58,68,73,21,48,20,43,44,2,88,66,51,86,26,53,90,30,33,45,46
9,51,44,1,39,19,25,91,42,71,64,58,90,74,75,37,14,22,26,8,20,15,7,73,55,88,6,53,48,86,16,13,41,54,11,50,80,21,43,40,45,61,83,49,17,28,89,33,2,30,57,66,78,29,18,65,47,77,62,31,12,68,38,24,56,46,60,84,69,10,76,32,34,63,27,35,82,3,85,5,59,81,36,87,4,72,67,23,79,52,70
10,91,69,4,24,45,82,2,34,63,43,6,23,30,27,67,85,3,64,32,36,46,33,72,61,89,90,5,66,84,47,35,21,12,65,68,8,75,77,62,76,60,56,70,31,20,51,15,41,7,81,48,88,79,52,59,42,55,86,22,54,26,53,87,44,71,1,83,37,9,28,13,49,25,19,40,16,18,74,57,29,11,50,39,58,80,38,73,17,78,14
11,49,67,26,22,50,4,37,5,78,79,31,80,83,17,54,2,44,70,28,53,56,48,82,29,68,38,85,14,25,60,87,40,36,9,16,86,73,20,59,18,66,88,35,1,77,23,74,13,12,75,52,84,89,19,76,32,57,58,8,69,51,72,39,10,3,81,65,6,42,43,64,45,90,33,46,30,7,41,47,24,55,21,62,63,27,91,15,71,61,34
12,55,88,87,62,59,10,52,76,3,40,61,73,29,72,58,45,21,65,51,19,18,57,30,23,39,81,34,71,74,15,38,26,28,69,42,13,7,70,53,63,79,33,6,32,41,66,9,50,17,43,47,27,46,5,64,80,91,16,85,11,44,90,20,67,25,78,14,49,24,86,31,77,54,2,36,4,1,35,68,84,37,83,48,22,56,89,60,82,8,75
89,86,33,25,68,84,13,1,57,75,41,85,48,22,78,6,56,7,60,16,35,52,31,43,50,24,47,67,77,12,49,64,8,20,32,27,55,4,11,44,71,90,46,91,38,82,81,83,14,37,59,21,61,39,36,62,54,28,15,23,73,45,30,2,70,5,34,29,17,80,63,65,53,26,69,58,88,72,79,9,40,19,10,42,74,18,3,76,51,87,66
14,47,81,61,17,89,27,29,9,66,83,42,46,51,34,79,18,69,74,68,41,5,40,63,32,44,3,65,62,58,90,76,80,31,30,72,2,37,54,64,52,23,24,39,19,45,36,55,86,87,73,26,60,50,85,22,35,49,53,33,10,21,75,84,82,13,88,59,8,1,11,15,48,67,57,38,71,78,91,56,7,28,16,25,70,6,12,4,77,20,43
15,82,50,28,20,53,90,36,70,35,74,14,63,49,26,8,19,38,11,75,1,54,87,77,71,37,10,59,7,21,6,79,17,43,91,88,45,57,9,22,48,16,84,67,34,69,58,25,78,18,51,24,4,42,56,68,44,40,2,76,66,3,27,83,61,80,89,52,55,46,47,12,72,30,32,13,81,73,39,60,62,23,41,5,33,31,29,64,65,85,86
16,84,73,60,72,55,48,30,32,46,80,12,24,77,64,23,71,86,27,58,39,76,88,4,20,5,25,2,13,36,11,42,83,33,78,40,82,61,56,85,15,29,62,89,65,37,8,67,70,28,10,3,6,41,31,57,1,90,19,9,63,43,7,81,69,51,91,18,38,50,22,21,87,66,79,74,45,17,75,14,34,44,49,52,35,59,54,47,53,26,68
17,85,59,31,88,69,56,7,65,21,1,57,3,44,62,43,91,53,13,33,22,42,70,66,54,78,45,61,75,41,52,18,81,73,89,34,10,51,5,49,26,38,47,12,14,87,30,68,11,64,63,80,74,35,71,58,60,29,72,36,32,4,48,86,27,79,15,16,77,25,39,6,8,37,28,23,55,19,83,50,76,20,90,40,82,9,46,24,67,84,2
18,54,83,45,81,40,6,23,8,38,60,37,2,76,39,55,10,15,25,67,29,26,24,9,85,46,16,4,80,28,44,27,48,50,47,35,19,66,30,68,84,7,75,74,72,86,91,12,21,82,90,79,62,49,53,20,70,14,5,87,77,88,89,31,65,17,36,41,56,73,33,51,3,43,64,59,34,52,61,78,42,63,22,32,1,71,13,57,69,58,11
19,68,41,43,51,78,64,79,58,28,36,5,47,14,71,31,30,52,35,87,73,49,90,34,2,86,84,82,72,83,9,69,63,46,53,77,59,65,3,39,50,17,20,76,29,13,56,22,1,16,8,33,32,38,67,11,23,24,10,7,61,40,25,18,12,37,42,57,4,26,60,74,75,44,91,66,85,62,27,15,70,48,6,89,54,45,21,81,88,80,55
20,62,34,35,11,75,80,77,13,33,72,27,67,88,4,63,32,66,37,12,61,21,89,45,42,56,74,79,51,22,70,29,91,55,23,3,1,60,58,6,25,73,43,64,15,57,54,44,26,40,9,76,17,81,48,84,83,78,47,59,28,24,52,46,14,49,2,85,39,5,30,69,71,82,86,31,68,50,53,36,16,87,18,38,65,8,7,10,90,19,41
21,87,74,18,76,71,26,38,16,90,25,49,19,89,7,65,82,78,57,5,48,50,11,10,17,69,31,64,1,40,81,68,32,86,15,75,14,52,8,24,2,28,36,63,27,42,85,59,53,61,39,46,13,80,91,88,79,43,30,34,55,41,33,60,66,6,20,62,58,54,45,35,84,9,70,56,47,29,22,4,73,77,67,37,23,44,51,83,12,72,3
22,66,39,3,15,67,70,44,50,52,30,86,87,56,82,9,59,83,47,81,24,62,6,53,91,7,58,12,8,57,65,33,84,19,45,85,20,36,16,88,55,41,77,69,4,60,48,90,31,23,25,72,34,51,54,75,18,73,37,68,42,71,32,74,35,38,76,64,21,78,14,29,40,10,5,63,11,26,13,80,43,2,46,79,28,61,17,49,1,89,27
23,61,42,2,8,32,63,69,53,29,73,84,55,79,10,70,80,20,46,40,59,17,51,28,14,41,13,60,35,4,37,54,62,6,38,43,71,44,18,57,21,9,78,82,58,5,11,49,52,66,89,19,65,45,77,27,15,85,26,3,50,39,67,1,88,90,87,47,22,34,68,83,33,12,81,72,76,64,24,48,86,74,31,7,36,16,75,25,56,91,30
