# c-balanced Latin square
# n=109
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,2,96,67,80,78,73,61,104,24,75,76,44,42,62,69,41,45,12,92,63,6,86,5,64,3,17,94,32,74,36,66,50,100,27,38,83,88,79,91,7,26,49,51,103,99,43,59,68,57,33,56,21,109,84,85,29,8,95,55,58,22,15,28,30,65,18,71,106,87,9,77,16,54,34,97,52,47,93,70,105,13,37,31,19,48,98,23,39,35,82,90,14,102,108,72,101,10,53,25,20,40,107,89,46,11,4,60,81
94,60,106,49,23,109,74,43,85,11,46,79,57,81,14,8,58,26,98,99,33,103,100,108,82,21,77,22,13,48,102,93,75,16,72,39,95,18,10,20,40,70,15,105,35,78,34,61,54,47,19,17,25,4,31,107,66,96,36,37,6,1,52,89,59,53,2,56,88,101,32,67,24,41,64,90,76,42,104,63,7,5,55,3,69,84,92,29,68,30,71,62,91,65,12,80,86,50,9,97,44,27,45,38,28,83,87,51,73
3,91,51,35,25,31,107,59,72,37,70,19,38,34,9,105,20,65,47,87,27,40,54,56,68,71,7,29,84,55,30,52,41,4,97,69,28,89,63,11,53,90,108,73,64,101,2,42,104,13,80,5,98,81,24,60,93,46,62,82,76,86,10,44,61,83,50,48,92,39,23,45,14,12,74,102,33,6,103,17,15,100,66,94,8,32,96,58,106,36,79,49,57,88,67,109,16,18,22,78,1,21,26,43,95,85,77,75,99
4,55,77,36,83,29,52,15,90,39,53,10,82,16,93,21,66,84,18,95,89,97,28,101,50,106,88,96,60,8,107,98,45,23,58,14,1,37,87,86,22,46,76,92,67,32,62,71,9,12,44,65,30,69,48,102,75,91,63,11,51,70,108,7,64,43,73,57,68,35,78,38,49,85,109,79,27,25,80,81,40,20,41,72,99,74,34,47,61,26,24,100,56,33,6,17,59,13,19,103,42,31,3,2,105,94,54,5,104
5,102,48,97,50,18,92,12,56,68,54,17,71,101,32,88,13,30,49,90,109,53,35,24,42,80,57,34,62,25,15,67,44,9,19,104,85,47,65,6,31,33,81,82,45,106,16,41,14,39,79,87,77,74,38,100,94,72,20,99,23,103,78,3,40,27,105,26,21,91,4,11,66,75,107,59,51,86,43,1,60,108,10,28,2,83,73,22,46,63,95,89,29,93,70,8,69,36,96,37,55,84,7,76,98,64,61,58,52
6,64,95,26,86,89,93,103,87,63,20,33,28,40,108,7,83,22,43,70,85,78,11,102,10,76,81,104,46,91,59,73,51,31,105,61,2,99,24,60,17,109,29,36,23,52,96,75,3,58,94,55,1,37,45,27,32,14,67,54,90,88,98,5,12,19,80,47,25,84,8,100,72,69,13,65,30,82,56,18,53,77,101,16,21,38,42,9,107,4,97,50,44,48,106,92,74,66,57,34,39,15,62,41,68,79,71,35,49
7,65,105,69,38,98,16,30,100,22,13,27,99,47,59,6,73,86,31,1,48,2,9,15,4,79,39,37,72,61,53,101,12,56,35,43,68,21,103,57,25,107,5,8,77,84,74,66,50,89,10,26,83,18,40,28,92,97,41,42,106,109,87,34,46,49,81,17,104,36,108,20,44,94,19,3,29,62,96,58,71,95,67,75,90,76,54,78,51,11,88,45,60,52,64,55,85,82,102,23,33,93,70,32,24,14,91,63,80
8,66,108,32,44,34,28,84,88,62,45,41,52,96,23,74,72,64,37,77,19,51,36,107,75,67,58,14,83,1,70,90,54,11,78,82,80,71,92,42,94,55,3,95,97,38,93,27,100,85,86,49,76,106,73,16,105,26,61,9,33,79,21,13,29,102,24,69,60,63,7,98,40,46,10,99,89,57,68,22,35,50,39,91,4,104,103,56,53,20,43,25,2,87,31,81,5,15,65,47,12,109,48,17,18,6,30,101,59
9,99,47,33,79,76,17,40,71,58,21,66,60,80,106,103,68,3,57,94,55,29,25,46,91,69,19,89,18,65,26,5,42,109,20,81,49,44,48,34,96,59,54,12,56,30,102,24,4,63,53,22,6,64,52,51,104,101,43,50,2,73,39,35,107,16,74,97,62,70,95,82,93,15,31,61,37,92,23,88,98,11,87,36,14,45,85,105,77,86,7,27,28,83,32,84,41,75,38,100,8,67,72,90,10,1,78,13,108
10,100,46,39,81,63,42,27,101,91,4,78,67,51,102,104,15,75,82,24,61,14,16,12,93,95,43,105,20,92,85,2,106,87,64,76,62,84,32,23,41,50,98,13,88,80,48,17,70,60,8,36,35,7,11,108,68,57,71,53,45,77,38,25,90,72,96,94,31,6,1,55,33,26,22,5,28,54,83,79,49,73,44,52,89,97,65,18,59,109,37,40,99,19,107,103,3,21,30,58,29,86,9,34,66,69,56,74,47
11,87,45,90,58,22,70,14,55,98,5,29,35,25,109,85,61,50,56,39,67,74,59,41,30,73,31,49,97,38,10,79,40,3,108,7,13,77,52,9,100,101,19,69,37,18,65,1,72,107,28,20,15,78,88,103,89,44,34,47,83,48,84,4,32,63,93,66,75,99,86,42,60,81,71,95,21,91,8,2,64,12,27,6,26,17,33,62,102,94,80,105,76,54,51,104,24,43,46,68,16,92,57,96,82,106,53,23,36
75,62,53,24,21,54,57,82,81,2,89,18,65,49,97,48,36,107,96,104,44,60,34,52,26,23,63,47,27,16,71,28,17,86,94,8,74,5,33,102,43,66,68,72,83,6,87,98,91,109,46,95,90,99,50,3,39,19,15,80,31,100,56,69,92,67,85,41,14,103,76,29,58,106,105,84,55,38,45,32,51,30,9,59,78,70,108,64,101,13,12,10,1,11,20,77,73,79,61,7,35,4,42,40,88,22,37,93,25
13,84,56,30,20,37,19,8,83,1,92,32,107,95,31,77,11,54,35,80,23,105,88,38,72,55,51,66,78,103,76,99,6,22,33,57,73,29,106,45,4,93,47,58,10,86,21,25,7,69,108,34,97,2,59,82,70,64,40,12,75,17,101,104,62,91,79,42,5,3,52,28,18,43,96,53,9,48,36,85,109,68,102,46,61,24,15,60,16,81,67,41,98,74,39,94,90,89,71,14,87,49,63,100,50,26,27,65,44
14,85,41,61,12,68,36,53,50,69,108,7,26,43,4,94,91,100,25,17,42,46,45,92,13,44,59,98,33,109,64,39,24,65,63,70,96,90,15,56,30,62,89,104,28,60,11,105,40,51,29,82,93,71,9,79,86,49,35,102,74,16,81,18,58,77,54,20,10,22,27,37,80,2,83,87,73,67,101,78,107,84,106,47,88,1,57,5,52,66,21,3,75,34,38,23,48,76,6,95,32,19,99,97,31,55,103,8,72
15,71,40,93,88,101,77,102,3,48,9,73,86,64,2,76,38,79,52,106,10,69,8,1,84,18,90,99,6,87,95,68,21,34,32,60,12,55,26,75,35,78,74,16,22,63,31,20,81,67,103,27,23,66,41,47,13,5,4,59,65,85,97,36,14,37,109,11,51,46,30,53,89,50,57,39,72,100,94,24,19,43,82,62,80,25,7,49,83,44,104,17,96,42,61,58,45,98,105,108,28,56,54,91,92,107,33,70,29
16,74,72,27,42,103,49,97,99,47,94,6,105,3,46,89,29,78,5,28,7,79,58,83,32,62,70,75,9,100,82,108,80,37,88,91,54,107,36,104,67,61,38,1,44,14,53,19,64,48,52,101,92,57,43,56,10,21,24,25,30,96,68,8,55,23,76,45,13,15,90,59,73,17,63,98,4,50,34,31,26,69,33,65,109,71,40,41,93,87,18,85,22,66,95,35,2,11,60,77,51,106,81,12,39,84,86,102,20
17,109,104,28,59,43,60,80,96,23,31,106,50,87,24,90,19,34,93,102,66,20,37,98,65,83,40,53,4,45,35,57,77,81,103,25,30,3,51,27,73,2,21,71,85,39,108,36,76,18,88,11,42,8,58,54,12,22,84,7,49,94,41,26,95,1,33,38,89,107,105,61,48,56,78,70,32,44,75,99,14,74,29,92,86,79,10,91,100,6,55,72,47,68,13,46,97,63,64,69,5,82,52,101,67,15,62,16,9
18,70,52,107,57,41,33,44,26,64,51,97,12,39,63,5,67,10,71,15,68,76,81,96,22,109,85,2,56,86,11,89,49,48,92,101,40,46,98,13,14,84,106,75,91,79,29,95,55,37,31,61,32,105,53,62,42,78,87,69,72,60,20,99,9,82,6,100,34,74,19,65,102,47,88,58,24,108,66,77,16,38,25,54,35,93,27,43,8,1,23,103,59,36,30,7,4,28,104,83,94,80,50,73,21,45,90,3,17
19,73,54,101,82,72,35,105,25,67,95,84,36,1,22,30,55,63,16,4,38,21,62,87,33,8,74,108,41,44,69,7,29,47,93,52,102,50,59,58,39,77,83,24,100,9,94,5,45,92,90,43,96,91,80,23,6,65,17,3,32,107,66,71,106,68,51,98,28,61,12,64,104,86,103,11,18,60,13,97,46,56,57,34,49,81,20,31,37,14,42,70,15,53,40,78,27,99,26,79,88,75,10,85,48,76,109,2,89
20,78,58,34,10,75,13,32,6,86,65,100,55,48,56,92,27,51,81,88,91,47,70,94,61,60,11,28,23,54,31,43,14,18,42,26,17,66,16,82,97,80,99,87,40,46,90,49,15,83,38,102,104,72,67,95,33,77,2,98,89,93,105,50,45,103,22,8,44,85,109,79,25,101,36,1,35,7,3,4,39,76,21,63,107,106,12,30,84,73,108,5,69,9,41,62,71,52,29,24,74,64,37,53,59,57,68,19,96
21,76,89,68,95,106,66,45,79,7,14,8,74,98,37,17,99,53,2,9,72,3,71,104,103,78,86,36,24,12,50,105,84,1,59,15,6,41,94,69,64,85,27,20,4,57,107,26,10,35,30,62,100,46,44,61,73,109,88,108,29,19,67,47,31,70,52,39,40,80,83,97,5,92,23,49,16,81,87,65,48,90,93,96,58,51,82,55,28,75,33,77,63,101,18,56,22,34,54,91,13,11,60,102,25,32,43,42,38
22,103,43,29,9,85,11,108,38,109,30,61,15,77,83,45,33,39,62,101,32,13,73,31,49,48,102,52,80,5,58,63,96,90,107,79,53,67,93,19,28,37,65,34,42,25,12,82,97,75,78,16,68,70,14,17,99,76,81,18,56,27,24,54,94,60,4,59,55,57,41,10,21,35,7,20,106,40,74,95,91,104,1,23,64,50,3,72,2,69,92,8,46,86,89,26,44,88,51,84,36,47,6,71,87,100,105,98,66
23,88,57,92,104,46,69,64,5,34,42,59,56,91,54,40,87,44,60,97,41,26,93,77,19,100,27,35,82,21,106,4,25,55,74,10,51,101,72,8,105,18,79,7,50,109,47,89,73,2,84,71,3,33,39,36,1,98,48,13,28,63,102,76,75,86,15,78,30,29,43,96,108,68,62,6,66,17,11,37,52,103,70,53,22,9,95,67,90,32,38,58,81,80,85,99,14,49,107,31,45,65,61,16,94,20,12,83,24
24,98,37,31,51,62,65,1,94,49,35,80,90,11,12,75,60,89,59,29,107,84,17,95,43,20,16,61,68,47,3,9,103,46,36,99,56,78,70,76,81,32,63,86,96,66,8,85,23,74,6,45,54,22,101,34,7,83,38,52,91,26,53,57,93,100,88,64,58,77,2,13,71,87,27,82,14,69,10,41,28,72,42,97,55,44,102,19,50,48,15,109,4,21,79,105,25,40,67,106,73,30,5,33,104,108,39,92,18
25,92,82,4,52,39,96,2,65,105,83,81,102,69,53,70,28,42,40,108,50,18,57,85,99,6,30,15,10,14,29,104,97,67,66,71,22,109,38,68,49,88,48,41,55,33,13,44,32,77,24,58,63,51,5,20,106,37,74,16,21,64,80,11,73,87,84,90,79,72,47,31,107,91,9,8,36,26,12,59,61,89,86,45,100,75,101,94,98,54,76,19,78,27,3,43,60,93,17,56,62,23,46,1,35,103,95,7,34
26,79,50,71,73,7,94,91,36,107,44,16,93,58,20,100,1,109,76,14,96,106,90,27,66,45,12,54,64,57,19,72,13,69,30,24,34,11,108,61,98,23,60,9,3,89,92,28,52,62,21,40,59,75,87,25,55,18,86,103,104,46,43,42,33,17,101,95,32,81,102,56,51,84,38,67,85,88,105,5,29,83,80,48,15,63,53,6,99,10,31,65,39,35,49,68,47,37,70,4,41,2,78,77,74,8,22,97,82
27,67,86,87,48,6,3,47,93,78,74,63,37,68,84,18,4,23,21,8,75,22,80,51,53,5,33,101,39,73,88,38,91,83,2,89,31,64,43,62,95,44,103,17,65,70,81,56,102,106,41,105,12,107,94,97,15,69,1,79,10,35,40,82,24,66,108,9,19,49,54,34,7,99,30,104,77,46,20,92,42,45,32,85,60,11,13,71,25,57,61,52,26,16,29,50,96,100,72,90,98,76,59,109,58,36,28,14,55
28,61,38,102,47,8,56,41,9,10,15,85,13,103,55,71,52,46,32,86,58,82,49,48,105,25,97,87,42,40,34,20,95,76,98,77,100,104,35,54,1,72,45,53,31,59,7,22,88,99,91,67,29,60,26,19,90,50,30,27,39,5,92,23,96,36,14,12,37,65,16,94,63,3,4,44,2,78,109,106,62,6,79,18,108,43,68,89,17,70,74,64,84,24,73,57,83,33,81,66,101,69,51,80,93,75,21,11,107
29,63,81,99,19,2,108,18,60,77,33,24,21,72,66,98,35,97,36,74,64,43,101,79,7,89,107,92,26,17,37,46,62,28,85,75,106,45,4,109,5,16,42,39,11,61,51,57,84,96,73,50,14,13,68,49,80,31,100,70,78,95,32,65,6,48,58,3,83,67,93,69,90,52,55,25,23,15,71,76,102,22,8,103,56,105,59,104,38,47,34,9,20,94,82,91,12,1,87,27,54,53,44,30,86,41,88,40,10
30,59,12,100,55,14,90,76,17,16,40,3,62,88,57,101,25,80,11,34,54,104,65,109,67,94,56,1,70,81,41,32,78,71,84,23,86,82,105,83,36,52,102,6,26,58,15,69,103,43,93,72,108,47,10,35,4,9,60,85,22,8,29,51,38,20,44,7,27,53,50,68,74,42,45,46,75,98,73,21,33,96,2,24,66,77,99,87,97,91,28,107,106,5,37,63,95,92,39,48,89,18,13,79,49,19,64,31,61
31,83,90,66,70,45,20,95,46,106,43,22,104,5,38,78,49,24,13,6,73,30,39,44,63,9,50,91,69,93,96,94,8,7,53,21,48,19,25,12,74,87,10,80,2,27,68,18,33,34,4,64,79,56,86,77,71,11,59,107,92,57,61,37,105,97,89,99,1,82,75,26,62,28,76,60,101,41,84,72,47,54,14,81,40,29,35,36,88,103,16,32,51,55,98,100,42,58,109,52,17,102,108,65,23,3,67,85,15
32,68,42,15,77,53,51,67,89,84,103,87,23,61,82,26,108,14,85,69,83,98,99,2,59,36,24,106,3,79,75,18,27,60,102,37,92,58,100,29,47,8,97,107,94,1,54,35,38,101,65,81,48,55,76,63,74,52,28,109,44,34,45,91,41,13,21,49,16,11,5,88,70,39,33,40,12,19,64,90,86,17,4,30,57,31,66,95,80,62,78,93,73,71,96,10,9,25,20,43,72,22,105,104,56,7,46,6,50
33,80,44,5,64,91,58,4,75,102,28,72,96,92,19,50,95,7,41,105,57,56,10,47,11,35,6,76,31,52,23,55,74,15,73,16,65,20,49,88,108,71,22,14,93,17,40,99,78,36,98,39,9,85,89,30,53,25,66,46,87,12,62,83,2,42,104,86,43,24,48,103,109,97,18,54,68,94,61,100,27,34,26,51,37,67,107,79,21,3,60,101,13,45,1,82,29,32,8,59,63,90,38,69,70,81,84,77,106
34,97,49,1,16,40,10,86,54,32,52,39,109,70,79,107,31,17,27,103,37,12,75,71,81,29,42,45,88,22,13,60,33,61,62,5,59,9,95,90,63,51,57,30,43,19,72,67,46,82,104,66,28,20,21,96,41,3,93,94,101,47,55,77,84,56,25,36,23,64,73,106,6,8,100,108,80,53,89,38,50,58,98,105,7,87,69,14,65,85,2,11,18,92,15,76,102,91,35,99,24,68,74,83,78,4,44,26,48
35,69,107,74,11,84,99,98,21,104,25,88,54,73,41,64,43,8,48,3,100,4,72,78,40,34,38,65,77,2,51,109,102,89,68,50,87,42,80,46,79,24,55,101,90,20,76,37,6,26,27,70,44,16,29,83,58,108,92,105,81,14,106,49,85,71,10,63,18,33,17,91,95,1,32,15,93,31,52,67,9,59,19,13,82,28,39,86,12,56,22,30,7,23,97,75,53,62,94,36,61,96,66,103,47,60,5,57,45
