# c-balanced sequence
# n=111
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
111,64,57,93,52,76,74,16,11,82,99,8,79,70,108,37,67,14,41,100,35,4,19,77,26,5,40,109,62,102,87,47,29,28,10,13,110,94,38,43,25,27,54,44,106,95,36,46,69,73,71,22,101,105,30,33,92,21,75,91,88,24,96,83,59,72,7,103,48,63,18,3,56,31,9,78,61,65,50,1,42,39,97,81,84,34,45,49,17,32,55,104,60,53,58,23,68,90,80,85,15,98,20,6,89,12,2,66,86,107,51
107,101,2,102,83,20,104,54,65,3,98,103,53,1,36,69,24,21,6,80,34,15,27,84,73,58,25,32,111,86,105,18,89,70,72,55,85,59,90,78,50,37,45,31,12,16,11,39,81,108,109,17,79,19,97,68,42,29,28,10,51,67,26,13,38,66,94,93,49,23,74,41,60,47,46,99,57,64,75,92,43,52,71,56,88,82,100,62,7,35,44,96,48,30,91,95,14,40,5,76,9,4,87,77,106,8,110,63,61,33,22
90,78,51,91,33,39,61,30,12,95,17,46,60,92,38,45,71,85,18,68,43,22,81,9,106,50,75,97,96,7,49,83,48,42,88,56,66,63,82,23,57,58,3,40,65,100,34,107,80,110,15,62,6,2,98,32,76,64,5,52,53,35,14,55,84,89,4,77,87,86,109,20,104,105,44,8,27,11,37,111,93,70,79,69,108,28,24,101,73,1,99,19,59,25,47,29,67,10,26,41,16,21,103,31,13,74,72,54,94,36,102
4,48,87,55,32,62,66,75,94,88,10,84,72,28,109,29,96,56,63,7,49,99,59,33,44,23,31,13,67,41,14,53,60,1,30,6,35,79,8,21,52,92,26,76,103,77,93,91,86,47,9,24,82,89,74,90,37,20,104,36,61,16,95,54,45,34,106,70,69,19,85,25,22,40,102,17,100,107,58,5,80,73,68,2,15,110,12,98,51,42,38,105,50,57,65,78,97,39,71,64,11,83,43,111,18,46,101,81,108,3,27
5,100,80,58,59,19,86,89,73,15,47,77,44,22,25,31,13,97,105,110,42,103,104,91,11,94,64,98,17,65,71,12,74,46,108,2,68,61,81,51,101,96,20,9,63,60,1,87,41,48,99,56,18,49,111,66,40,8,107,102,23,62,57,78,27,32,50,39,43,36,29,30,33,88,16,53,95,67,90,83,4,6,76,26,3,106,10,21,14,54,85,92,72,93,82,37,52,34,28,24,69,35,55,38,79,70,45,75,84,109,7
6,68,85,69,50,43,40,27,21,97,42,23,35,26,9,52,106,93,3,107,20,57,82,37,10,92,76,8,101,51,54,78,24,39,36,95,16,34,98,5,111,102,75,84,28,61,70,14,53,72,67,55,83,4,45,38,41,7,31,58,12,1,44,73,100,65,64,80,81,2,90,79,15,96,110,71,91,13,66,108,33,59,89,86,74,22,46,87,29,94,103,18,77,109,63,11,32,56,19,105,88,60,48,30,99,25,17,47,49,62,104
7,71,49,56,106,70,72,105,24,13,18,63,81,110,34,48,2,89,47,95,61,39,66,16,108,88,38,90,45,79,93,11,55,76,69,32,77,19,109,15,80,4,17,64,30,74,33,29,104,42,84,44,59,26,87,27,46,43,22,25,3,6,60,85,86,101,99,37,9,82,98,28,10,68,51,62,14,103,21,54,12,35,94,40,36,102,67,20,41,75,31,5,107,111,83,8,96,73,1,100,53,50,78,52,58,57,92,23,65,97,91
8,1,41,31,23,45,28,79,14,29,96,87,40,5,74,86,102,58,83,65,12,30,46,78,53,60,36,107,20,99,100,43,73,33,3,22,91,62,106,7,67,18,104,105,35,19,52,10,57,94,50,88,54,51,63,85,11,103,108,47,15,82,109,2,56,71,17,111,110,97,21,92,75,76,32,49,38,24,98,101,48,25,16,55,77,72,61,27,13,80,89,9,81,84,4,69,6,66,70,59,44,90,42,34,39,64,68,26,95,37,93
9,110,38,108,81,44,37,34,26,67,25,64,90,50,101,54,27,94,111,51,62,17,98,21,55,89,56,1,72,2,104,95,84,57,75,103,92,4,73,71,24,97,83,99,66,85,32,49,96,68,7,58,70,78,100,93,39,14,80,69,48,79,77,31,105,107,8,5,11,12,13,42,6,35,59,18,52,45,19,30,15,60,91,109,47,65,23,63,53,88,22,106,16,20,43,36,33,61,86,46,102,74,3,41,10,28,87,82,29,40,76
10,103,42,35,22,53,46,60,36,92,109,19,66,75,16,15,39,33,59,88,32,86,101,28,29,14,30,80,63,68,52,4,82,21,81,20,64,93,12,47,107,48,69,6,89,13,98,102,25,37,61,5,77,3,23,106,110,65,50,94,99,9,111,70,76,74,40,41,91,1,58,34,26,72,43,97,84,55,87,7,105,85,8,104,18,11,57,83,78,90,95,71,79,17,51,62,2,38,108,54,45,27,49,96,67,24,44,100,31,56,73
